file_short,file,sdl,insolation,avg_hab_fraction_land_volume,avg_hab_fraction_ocean_volume,avg_hab_fraction_volume,avg_hab_fraction_land_area,avg_hab_fraction_ocean_area,avg_hab_fraction_area
S45,amANN0990-0999.aijP214eoDOFP3Od_X004_O30.nc,4,1775.221923828125,0.95838153,1.0,0.99994314,0.94737685,1.0,0.9845589
S46,amANN0990-0999.aijP214eoDOFP3Od_X016_O30.nc,16,1775.158203125,0.97324556,1.0,0.99996537,0.970032,1.0,0.99120647
S47,amANN0990-0999.aijP214eoDOFP3Od_X016_O30S.nc,16,1775.158203125,0.9714909,1.0,0.999963,0.96969634,1.0,0.991108
S48,amANN0990-0999.aijP214eoDOFP3Od_X064_O30.nc,64,1775.10595703125,0.88604605,0.9998907,0.9997386,0.871452,1.0,0.9622804
S49,amANN0990-0999.aijP215eoDOFP3Od_X064_O30.nc,64,1911.6217041015625,0.93005747,0.99994344,0.9998498,0.9241261,1.0,0.9777364
S50,amANN0990-0999.aijP216eoDOFP3Od_X064_O30.nc,64,2048.137451171875,0.9543375,0.9999889,0.99992895,0.94853204,1.0,0.9848978
S51,amANN0990-0999.aijP217eoDOFP3Od_X064_O30.nc,64,2321.269287109375,0.98634905,1.0,0.9999801,0.9856642,1.0,0.99579346
S52,amANN0990-0999.aijP219eoDOFP3Od_X064_O30.nc,64,2594.301025390625,1.0,1.0,1.0,1.0,1.0,1.0
S53,amANN0990-0999.aijP221eoDOFP3Od_X064_O30.nc,64,2867.4326171875,1.0,1.0,1.0,1.0,1.0,1.0
S54,amANN1250-1299.aijP225eoDOFP3Od_X128_O30.nc,128,3413.625244140625,1.0,1.0,1.0,1.0,1.0,1.0
S55,amANN1250-1299.aijP227eoDOFP3Od_X128_O30.nc,128,3686.705078125,1.0,1.0,1.0,1.0,1.0,1.0
S56,amANN1290-1299.aijP213eoDOFP3Od_X001_O30.nc,1,1638.7261962890625,0.95240253,1.0,0.9999383,0.9454081,1.0,0.9839812
S57,amANN1290-1299.aijP214eoDOFP3Od_X008_O30.nc,8,1775.1949462890625,0.9670061,1.0,0.9999547,0.9614977,1.0,0.9887023
S58,amANN1290-1299.aijP214eoDOFP3Od_X032_O30.nc,32,1775.1258544921875,0.98378915,1.0,0.99997866,0.9815007,1.0,0.9945717
S59,amANN1290-1299.aijP216eoDOFP3Od_X032_O30.nc,32,2048.16064453125,1.0,1.0,1.0,1.0,1.0,1.0
S60,amANN1400-1499.aijP215eoDOFP3Od_X256_O30.nc,256,1911.60400390625,0.8431807,1.0,0.9997894,0.78066725,1.0,0.9356415
S61,amANN1490-1499.aijP215eoDOFP3Od_X008_O30.nc,8,1911.7176513671875,0.9852222,1.0,0.99997807,0.98173285,1.0,0.9946399
S62,amANN1490-1499.aijP215eoDOFP3Od_X032_O30.nc,32,1911.643310546875,0.9955117,1.0,0.9999939,0.99516326,1.0,0.99858075
S63,amANN1490-1499.aijP223eoDOFP3Od_X064_O30.nc,64,3140.364501953125,1.0,1.0,1.0,1.0,1.0,1.0
S64,amANN1490-1499.aijP227eoDOFP3Od_X064_O30.nc,64,3686.72802734375,1.0,1.0,1.0,1.0,1.0,1.0
S65,amANN1690-1699.aijP225eoDOFP3Od_X064_O30.nc,64,3413.64599609375,1.0,1.0,1.0,1.0,1.0,1.0
S66,amANN1990-1999.aijP229eoDOFP3Od_X064_O30.nc,64,3959.829833984375,1.0,1.0,1.0,1.0,1.0,1.0
S67,amANN2190-2199.aijP215eoDOFP3Od_X016_O30.nc,16,1911.6448974609375,0.9920308,1.0,0.9999894,0.99182713,1.0,0.9976018
S68,amANN2490-2499.aijP217eoDOFP3Od_X032_O30.nc,32,2321.29541015625,1.0,1.0,1.0,1.0,1.0,1.0
S69,amANN2490-2499.aijP219eoDOFP3Od_X032_O30.nc,32,2594.330078125,1.0,1.0,1.0,1.0,1.0,1.0
S70,amANN2990-2999.aijP221eoDOFP3Od_X032_O30.nc,32,2867.46484375,1.0,1.0,1.0,1.0,1.0,1.0
